Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Vesa Lappalainen,OTHER_OUTDOOR,27.06.2018,13:45:02,03:03:28,39.60,,13.0,98.8,04:38,00:36,502,72,,,,0,276,344,,177.0,78.0,170,60,41,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,190,,0.00,35.5,,
,00:00:01,,,,,190,,0.00,35.5,,
,00:00:02,,,,,190,,0.00,35.5,,
,00:00:03,,,,,190,,0.00,35.4,,
,00:00:04,,,,,190,,0.00,35.5,,
,00:00:05,,,,,190,,0.00,35.5,,
,00:00:06,,,,,189,,0.00,35.3,,
,00:00:07,,,,,189,,0.00,35.3,,
,00:00:08,,,,,190,,0.00,35.3,,
,00:00:09,,,,,190,,0.00,35.2,,
,00:00:10,,,,,190,,0.00,35.3,,
,00:00:11,,,,,190,,0.00,35.5,,
,00:00:12,,,,,190,,0.00,35.3,,
,00:00:13,,,,,190,,0.00,35.5,,
,00:00:14,,,,,190,,0.00,35.5,,
,00:00:15,,,,,190,,0.00,35.3,,
,00:00:16,,,,,190,,0.00,35.4,,
,00:00:17,,,,,190,,0.00,35.5,,
,00:00:18,,,,,190,,0.00,35.3,,
,00:00:19,,,,,190,,0.00,35.5,,
,00:00:20,,,,,190,,0.00,35.5,,
,00:00:21,,,,,190,,0.00,35.5,,
,00:00:22,,,,,189,,0.00,35.5,,
,00:00:23,,,,,189,,0.00,35.5,,
,00:00:24,,,,,189,,0.00,35.7,,
,00:00:25,,,,,189,,0.00,35.5,,
,00:00:26,,,,,189,,0.00,35.5,,
,00:00:27,,,,,189,,0.00,35.7,,
,00:00:28,,,,,189,,0.00,35.4,,
,00:00:29,,,,,189,,0.00,35.5,,
,00:00:30,,,,,190,,0.00,35.8,,
,00:00:31,,,,,190,,0.00,35.3,,
,00:00:32,,,,,190,,0.00,35.3,,
,00:00:33,,,,,190,,0.00,35.1,,
,00:00:34,,,,,190,,0.00,35.4,,
,00:00:35,,,,,190,,0.00,35.3,,
,00:00:36,,,,,190,,0.00,35.2,,
,00:00:37,,,,,190,,0.00,35.3,,
,00:00:38,,,,,189,,0.00,35.3,,
,00:00:39,,,,,189,,0.00,35.5,,
,00:00:40,,,,,189,,0.00,35.3,,
,00:00:41,,,,,189,,0.00,35.3,,
,00:00:42,,,,,189,,0.00,35.3,,
,00:00:43,,,,,189,,0.00,35.3,,
,00:00:44,,,,,189,,0.00,35.3,,
,00:00:45,,,,,189,,0.00,35.3,,
,00:00:46,,,,,190,,0.00,35.3,,
,00:00:47,,,,,190,,0.00,35.3,,
,00:00:48,,,,,190,,0.00,35.1,,
,00:00:49,,,,,190,,0.00,35.3,,
,00:00:50,,,,,189,,0.00,35.2,,
,00:00:51,,,,,189,,0.00,35.3,,
,00:00:52,,,,,189,,0.00,35.2,,
,00:00:53,,,,,189,,0.00,35.3,,
,00:00:54,,,,,189,,0.00,35.3,,
,00:00:55,,,,,189,,0.00,35.3,,
,00:00:56,,,,,189,,0.00,35.2,,
,00:00:57,,,,,189,,0.00,35.3,,
,00:00:58,,,,,190,,0.00,35.2,,
,00:00:59,,,,,190,,0.00,35.2,,
,00:01:00,,,,,189,,0.00,35.5,,
,00:01:01,,,,,189,,0.00,35.1,,
,00:01:02,,,,,189,,0.00,35.2,,
,00:01:03,,,,,189,,0.00,35.0,,
,00:01:04,,,,,189,,0.00,35.0,,
,00:01:05,,,,,189,,0.00,35.0,,
,00:01:06,,,,,189,,0.00,34.8,,
,00:01:07,,,,,189,,0.00,35.0,,
,00:01:08,,,,,190,,0.00,35.0,,
,00:01:09,,,,,190,,0.00,35.0,,
,00:01:10,,,,,190,,0.00,35.0,,
,00:01:11,,,,,190,,0.00,35.0,,
,00:01:12,,,,,189,,0.00,35.0,,
,00:01:13,,,,,189,,0.00,35.0,,
,00:01:14,,,,,189,,0.00,35.0,,
,00:01:15,,,,,189,,0.00,35.0,,
,00:01:16,,,,,189,,0.00,35.0,,
,00:01:17,,,,,189,,0.00,35.0,,
,00:01:18,,,,,189,,0.00,34.8,,
,00:01:19,,,,,189,,0.00,35.0,,
,00:01:20,,,,,189,,0.00,35.0,,
,00:01:21,,,,,189,,0.00,34.8,,
,00:01:22,,,,,189,,0.00,35.0,,
,00:01:23,,,,,189,,0.00,34.9,,
,00:01:24,,,,,190,,0.00,35.0,,
,00:01:25,,,,,190,,0.00,34.8,,
,00:01:26,,,,,190,,0.00,35.0,,
,00:01:27,,,,,190,,0.00,34.9,,
,00:01:28,,,,,189,,0.00,34.8,,
,00:01:29,,,,,189,,0.00,34.9,,
,00:01:30,,,,,189,,0.00,35.0,,
,00:01:31,,,,,189,,0.00,34.8,,
,00:01:32,,,,,189,,0.00,34.9,,
,00:01:33,,,,,189,,0.00,34.8,,
,00:01:34,,,,,189,,0.00,34.8,,
,00:01:35,,,,,189,,0.00,34.8,,
,00:01:36,,,,,190,,0.00,34.7,,
,00:01:37,,,,,190,,0.00,34.8,,
,00:01:38,,,,,190,,0.00,34.8,,
,00:01:39,,,,,190,,0.00,34.8,,
,00:01:40,,,,,190,,0.00,34.8,,
,00:01:41,,,,,190,,0.00,34.8,,
,00:01:42,,,,,190,,0.00,35.0,,
,00:01:43,,,,,190,,0.00,34.8,,
,00:01:44,,,,,190,,0.00,34.8,,
,00:01:45,,,,,190,,0.00,34.8,,
,00:01:46,,,,,190,,0.00,34.8,,
,00:01:47,,,,,190,,0.00,34.8,,
,00:01:48,,,,,190,,0.00,34.6,,
,00:01:49,,0.0,00:00,,190,,0.00,34.8,,
,00:01:50,,0.0,00:00,,190,,0.00,34.8,,
,00:01:51,,2.2,27:16,,190,,0.00,34.8,,
,00:01:52,,2.9,20:41,,190,,0.00,34.8,,
,00:01:53,,3.7,16:13,,190,,0.50,34.8,,
,00:01:54,,3.7,16:13,,190,,0.80,35.0,,
,00:01:55,,3.7,16:13,,190,,1.60,35.0,,
,00:01:56,,3.7,16:13,,190,,3.60,34.8,,
,00:01:57,,3.8,15:47,,190,,5.40,34.8,,
,00:01:58,,3.8,15:47,,190,,6.60,34.8,,
,00:01:59,,4.0,15:00,,190,,8.10,34.8,,
,00:02:00,,4.1,14:38,,190,,13.00,34.8,,
,00:02:01,,4.2,14:17,,190,,13.60,34.8,,
,00:02:02,,4.3,13:57,,190,,15.20,34.8,,
,00:02:03,,4.3,13:57,,190,,16.60,34.7,,
,00:02:04,,4.2,14:17,,190,,17.40,34.8,,
,00:02:05,,4.0,15:00,,190,,17.80,34.7,,
,00:02:06,,4.0,15:00,,190,,17.80,34.8,,
,00:02:07,,3.8,15:47,,190,,17.80,34.6,,
,00:02:08,,3.7,16:13,,190,,17.80,34.8,,
,00:02:09,,3.7,16:13,,190,,17.80,34.8,,
,00:02:10,,3.6,16:40,,190,,17.80,34.8,,
,00:02:11,,3.3,18:11,,190,,17.80,34.7,,
,00:02:12,,3.2,18:45,,190,,17.80,34.8,,
,00:02:13,,3.0,20:00,,190,,17.80,34.7,,
,00:02:14,,2.8,21:26,,190,,17.80,34.6,,
,00:02:15,,2.4,25:00,,190,,17.80,34.7,,
,00:02:16,,2.0,30:00,,190,,19.40,34.7,,
,00:02:17,,1.4,42:51,,190,,21.40,34.7,,
,00:02:18,,0.9,66:40,,190,,22.50,34.7,,
,00:02:19,,0.0,00:00,,190,,22.90,34.5,,
